x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
4,53,28,60,44,156,85,96,70,4
5,63,30,52,44,149,78,94,77,12
10,59,31,60,44,143,74,96,83,21
9,77,32,61,46,142,97,122,61,15
13,49,36,72,47,149,98,116,69,15
13,69,28,147,59,152,98,124,78,16
12,88,32,149,50,142,99,119,66,18
15,75,35,153,53,144,99,128,58,13
18,61,33,154,52,152,101,115,64,20
19,65,38,151,55,155,108,111,69,21
22,74,41,150,54,124,110,111,66,23
27,72,38,145,60,136,108,116,61,25
28,76,38,143,63,139,111,126,76,27
24,58,32,143,86,132,115,117,72,31
27,55,34,141,85,115,117,115,64,30
